movie_id,genre_id,popularity
61813,53,0.155859
4954,53,9.579155
62488,14,0.710671
10531,9648,5.484156
11929,9648,5.8025
8467,35,9.844558
10451,10749,4.860016
20156,9648,5.378467
18395,10749,4.322726
522,36,11.720358
397,10749,9.146544
10525,10749,16.236745
27985,10751,2.657337
15789,12,10.177977
27303,53,8.182165
21183,14,4.953936
10954,18,8.935058
47867,14,0.398924
43475,10751,0.090452
72031,80,1.012197
14275,99,9.47666
1024,14,9.438042
17207,10751,2.688562
13701,10749,7.983666
14819,18,9.546707
32631,53,2.756986
11777,10749,5.146352
628,10749,11.970205
87729,10749,1.596058
18713,80,0.748846
6280,10749,6.710215
9061,53,9.195256
37108,10751,5.874511
6071,53,7.797512
11,878,42.149697
9587,10749,9.774994
19101,14,7.731725
49980,18,0.84508
17961,18,1.948315
18183,10749,4.126083
4476,10752,12.199047
11008,10751,9.253362
47504,18,1.861292
32325,18,1.788829
43742,10749,3.290192
28313,18,7.698526
11318,36,4.81307
3036,10749,14.287753
40490,10751,2.558118
24070,10749,2.899608
8986,10749,3.770115
10510,10751,5.831622
17402,10749,1.137266
38722,18,3.121288
8438,18,9.518564
11593,35,2.891269
1945,53,5.930957
39310,18,0.629955
109560,18,0.004537
56428,27,0.426952
63105,53,1.466491
131957,10749,0.769522
241,18,11.226856
9058,10749,4.936761
527,18,4.025276
18220,53,6.448039
6950,53,13.676444
101,18,20.477329
63020,10749,1.433544
2307,10749,0.463307
680,80,140.950236
41478,18,7.160149
25296,18,1.638622
40156,10749,1.881932
11450,18,7.772505
30304,36,1.296912
10452,36,4.405405
12106,37,7.54701
161495,35,3.395867
3586,35,6.259433
110,10749,7.832755
108,9648,8.843517
109,9648,6.5898
159185,18,0.078257
36357,10770,1.155255
92769,18,0.499601
28033,18,1.390885
22586,16,8.910462
14334,14,1.750481
2636,53,10.388183
2164,878,13.328924
11395,10751,9.665424
278,80,51.645403
9905,53,8.223026
87078,53,1.298224
12527,18,1.777197
20306,35,5.869261
36614,10749,1.407427
27993,35,5.05806
31439,10752,5.260627
9067,878,7.602087
9059,53,9.455342
193,53,8.105708
25066,53,2.86007
46797,10749,0.704204
12122,878,6.529879
11381,35,11.971318
32636,10749,7.039846
36141,80,2.059771
95963,10752,0.620873
1587,18,10.3919
9271,53,5.188399
2064,10749,15.783615
19855,18,3.908596
60855,10749,0.372239
236,10749,5.254847
48287,10751,2.15805
3049,9648,11.247957
2759,35,8.328596
12635,10402,2.487951
10497,10749,11.298195
11382,53,5.72288
9331,53,7.513245
10731,9648,15.263829
10464,10749,6.924689
34152,18,2.533022
9495,53,15.799336
29973,18,2.583363
888,10751,15.019586
13,10749,48.307194
712,10749,8.990345
16295,80,7.817811
48992,10749,0.289295
10879,10749,3.570874
10660,10749,11.272073
10714,10751,10.714235
41647,10769,0.568884
8587,18,21.605761
1689,36,5.681522
11596,14,9.860522
854,14,14.13488
9359,37,15.050326
23333,18,4.739054
36593,80,10.587232
12280,18,4.006063
2788,18,6.514592
10427,53,5.137903
11011,10751,6.595255
49803,18,4.931565
8987,53,10.511241
1637,80,10.859292
15128,10749,2.334226
8831,80,8.907074
36955,53,11.396099
10449,10749,4.322544
10395,14,14.063845
12160,37,9.277147
40480,53,0.912415
52038,18,0.406113
29444,18,2.504529
26352,80,3.021526
