movie_id,company_id,revenue,budget
9409,9195,0,0
11853,89311,15240435,0
16771,16737,0,3200000
46924,79561,0,40000000
11041,306,0,0
306,30,119208989,50000000
14522,6194,0,0
26203,12,16668552,0
178,8411,30156002,0
19819,4,0,0
57834,18070,0,0
4722,10099,428868,13000000
18215,70969,1796389,0
1607,11308,17287898,22000000
26391,9195,3662459,0
117553,1350,2570145,13000000
6075,11393,36516012,30000000
11310,97,0,0
18658,8411,7355425,0
9350,45729,255000211,70000000
9612,4,0,0
2124,1504,19726050,40000000
26261,559,0,0
19176,33,0,0
49299,68062,0,0
11566,8816,63000000,0
9571,10932,7993039,6900000
9739,6194,159055768,57000000
34444,8,0,8000000
26141,8411,0,0
10997,36863,0,0
50463,365,0,0
10443,6194,0,0
16297,6194,0,0
18551,19534,9488998,0
25440,8,0,0
9024,23,11146270,30000000
37233,1302,270248367,42000000
1634,23397,153698625,20000000
13815,14,0,0
5503,6194,368875760,44000000
35588,5,18635620,35000000
2087,1644,30,0
41579,8411,0,30000000
18620,89523,0,0
41006,37,0,0
4916,915,22886222,0
2019,11462,74189677,18000000
31642,6194,0,33000000
9255,11751,133752825,25000000
26271,10348,0,0
10612,983,0,0
2259,33027,0,25000000
11934,23873,0,30000000
106143,441,0,40000000
12475,915,28881266,0
9386,441,176997168,40000000
7984,2307,65796862,13000000
59930,9195,8880705,0
15765,9195,0,0
31643,11407,0,30000000
6,4248,12136938,0
329,56,920100000,63000000
10909,3589,2395231,9000000
507,285,418961,1500000
34024,37,0,0
29918,4,0,0
9593,55528,137298489,85000000
42580,9195,0,0
22317,11308,0,0
1413,6194,1499795,0
12121,6194,0,22000000
2246,1023,46405336,0
10502,6194,24760338,0
10440,559,11285588,13500000
9516,12,27900000,3500000
2320,6194,121969216,55000000
5879,14668,0,0
83718,10565,0,0
11971,8827,0,8000000
2625,1177,0,0
31911,16827,0,0
788,10230,441286195,25000000
21450,10932,0,0
11231,441,15826984,12000000
41588,10104,0,0
10447,4972,15340000,20000000
31586,97,0,40000000
9300,36765,0,4000000
9559,6194,135130999,30000000
9800,1274,206678440,26000000
713,14089,116700000,7000000
8291,5,27515786,14000000
18133,9195,23042200,0
25557,915,8638072,0
22588,33,0,0
10872,10288,11439193,11000000
1245,2370,23237911,11500000
11858,9195,24332324,40000000
7007,8780,107198790,0
10467,10157,0,0
5550,41,10696210,22000000
8005,5612,35739755,20000000
2088,36907,3275585,11500000
10412,50619,0,0
47889,75713,1001437,800000
14534,559,22750363,12000000
56583,36790,0,0
41878,16366,0,0
424,56,321365567,22000000
35233,28822,0,0
14291,932,7266383,0
103413,37265,0,0
11236,6194,0,0
